,CT_Jurkat_Empty_H3K27ac,CT_Jurkat_Tax_H3K27ac,CT_TL-Om1_Empty_H3K27ac,CT_TL-Om1_Tax_H3K27ac
ACSS3,0.42745440661907197,0.0,0.767192552447319,0.05643897503614426
ACTA1,4.2117994844913484,2.4205875861644746,0.6552090506255627,0.5893414735794067
ACTA2,8.77967943507433,33.44220720180869,23.679349858343603,25.861600898340345
ACTB,1.6658958133459092,4.0601884641647334,6.419174252182246,8.478002005308866
ACTBL2,0.2470607990026474,0.1736445332467556,0.33686052680015566,0.268827223777771
ACTC1,0.7215744036436081,0.588554659485817,0.5518750049173832,0.7412800325006247
ACTG1,3.469439430296421,1.979797918766737,0.9650605034828186,1.1302623166143895
ACTG2,4.871412013173103,2.6267898712754247,1.2084503746926785,0.8183639878034592
ACTL10,5.802008309960366,4.782316901028156,21.751503916859626,22.847615692079067
ACTL6A,7.630649711132049,14.90962720990181,26.662997826337815,25.508554768890143
ACTL6B,1.793739861369133,0.7972622352838517,0.40180508109927177,0.09208468437194824
ACTL7A,1.2070684822797775,1.2213559310436248,1.9283013453483582,1.6524699269235135
ACTL7B,2.3270774681568147,1.4647081575393677,1.247902524113655,1.370573702841997
ACTL8,0.8168692772984505,0.40697933346033094,0.081939055621624,0.1307007998228073
ACTL9,1.8235440230369568,0.30679992094635966,0.33837794497609136,0.3757644885778427
ACTMAP,16.907978117704392,42.165741428107026,34.7242974832803,37.211298790678384
ACTN1,4.031404435038566,7.348579733669758,0.594817228615284,0.6030050463974476
ACTN2,0.3764735984802246,0.7158665364980697,0.14566955268383025,0.18996137161552906
ACTN3,7.651042273044586,10.82772838383913,13.500231824964285,12.755913427397608
ACTN4,2.5176682847738268,5.244812550842762,10.277142092570662,11.592087560743094
