set,n_genes,CSI,collection,z,pct,risk
KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY,19,1.8853826886485003,KEGG_MEDICUS,3.3384849420353397,0.9916666666666667,high
REACTOME_REGULATION_OF_KIT_SIGNALING,16,1.8817561215150342,Reactome,3.3321354314410248,0.9916666666666667,high
REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_LYSOSOME_BIOGENESIS_AND_AUTOPHAGY,17,1.8779843722863052,Reactome,3.325531731356194,0.9916666666666667,high
REACTOME_SIGNAL_AMPLIFICATION,31,1.869949441056232,Reactome,3.032641717897694,0.9833333333333333,high
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,55,1.86590626042597,Reactome,3.560264215760499,0.9833333333333333,high
REACTOME_ONCOGENIC_MAPK_SIGNALING,79,1.830280655386564,Reactome,2.955167644556753,0.9833333333333333,caution
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,16,1.8114247727581598,KEGG,3.2089970397859324,0.9916666666666667,high
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,113,1.8108439986677982,Reactome,3.6180249538592597,0.9916666666666667,high
KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CAMK_SIGNALING_PATHWAY,15,1.806494774739035,KEGG_MEDICUS,3.200365440397211,0.9916666666666667,high
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION,16,1.7879966742552234,Reactome,3.167978370015197,0.9916666666666667,high
KEGG_CELL_ADHESION_MOLECULES_CAMS,128,1.7873731683592518,KEGG,3.568990580544778,0.9916666666666667,high
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,128,1.7826750377395064,Reactome,3.5591754232767836,0.9916666666666667,high
HALLMARK_INFLAMMATORY_RESPONSE,199,1.7756285086301884,Hallmark,1.9391159469865948,0.9833333333333333,robust
KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_AKT_SIGNALING_PATHWAY,23,1.7748481295570624,KEGG_MEDICUS,2.8766662720783467,0.9833333333333333,caution
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,37,1.7728551457338853,Reactome,2.8733975838191577,0.9833333333333333,caution
KEGG_MEDICUS_REFERENCE_GPCR_PI3K_SIGNALING_PATHWAY,30,1.7728142301428593,KEGG_MEDICUS,2.8733304782508893,0.9833333333333333,caution
REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS,31,1.7654050080669061,Reactome,2.8611786298877737,0.9833333333333333,caution
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,113,1.7643861765595514,Reactome,3.520967024391632,0.9916666666666667,high
REACTOME_CD209_DC_SIGN_SIGNALING,21,1.761718049509812,Reactome,2.8551316575001713,0.9833333333333333,caution
HALLMARK_APOPTOSIS,159,1.7614420299055134,Hallmark,3.6750527104065682,1.0,high
HALLMARK_TGF_BETA_SIGNALING,54,1.755484249937234,Hallmark,3.343145728643898,0.9833333333333333,high
REACTOME_APOPTOSIS,164,1.744886044843065,Reactome,3.7211862543982406,1.0,high
REACTOME_ADIPOGENESIS,108,1.7433118449341702,Reactome,3.795995614924839,0.9833333333333333,high
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,77,1.7404541405814915,KEGG,2.805114446928875,0.9833333333333333,caution
KEGG_MEDICUS_REFERENCE_CROSSTALK_BETWEEN_EXTRINSIC_AND_INTRINSIC_APOPTOTIC_PATHWAYS,15,1.740091218624831,KEGG_MEDICUS,3.0841039546641857,0.9916666666666667,high
KEGG_ERBB_SIGNALING_PATHWAY,86,1.7337471098026493,KEGG,2.7939105009989027,0.9833333333333333,caution
REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING,22,1.7214352264550814,Reactome,2.7890638905495724,0.9833333333333333,caution
REACTOME_LYSOSOME_VESICLE_BIOGENESIS,34,1.7137490995540645,Reactome,2.7764578912093776,0.9833333333333333,caution
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING,135,1.7107349314923443,Reactome,3.4088808670282833,0.9916666666666667,high
HALLMARK_KRAS_SIGNALING_UP,185,1.7068043851322998,Hallmark,3.6427668581076547,1.0,high
REACTOME_PROGRAMMED_CELL_DEATH,196,1.7011279804819448,Reactome,1.8545197101501545,0.9833333333333333,robust
KEGG_HISTIDINE_METABOLISM,29,1.6791325939148567,KEGG,2.719683438631712,0.9833333333333333,caution
REACTOME_SIGNALING_BY_SCF_KIT,43,1.6758124025401357,Reactome,3.1864900863849,0.9833333333333333,high
REACTOME_METABOLISM_OF_LIPIDS,730,1.6658902887510454,Reactome,3.0209725123002578,0.9916666666666667,high
