Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM831275,0,0,0.000589995615316689,0.0117220848605802,0.393258441060565,0.439757150814541,0.0248816195597411,0.00787687157663199,0.0382414131251168,0,0.0109122333783335,0.0049323412647341,0.0355866233564227,0.00502183534412121,0.000942723847975498,0.00754683851926176,0.00226635375903676,0.00201966290157881,0,0.00414271852218219,0.0103010924938613,0,0,0.517572241862625,0.864037366542227
GSM831276,0,0.00271950579780898,0.00258657431415448,0.0068011109761274,0.462303209848383,0.320974459056674,0.0473595808341436,0,0.00579348158425387,0,0.0510559839418497,0,0.0465058902715011,0.0119583073439453,0,0,0,0.000850981148588343,0,0.0373132481534447,0.00324006803864259,0.000537598690483647,0,0.503778243805331,0.869594408056891
GSM831277,0,0.000920119177897304,0.00284154419239615,0.0273361675990707,0.276374172091355,0.409775446027674,0.0403168034407889,0.0152935894226402,0.00714493728740406,0,0.054485486021399,0,0.0711518231485014,0.0179626134958264,0,0,0,0,0,0.0556758427968464,0.0207214552982012,0,0,0.467074020831022,0.888636229420967
GSM831278,0.00797691066352614,0,0,0.0216120205193594,0.226248777554598,0.503903119577989,0.0420498529062707,0,0.0156165670245993,0,0.0385826704829845,0.0111240987716862,0.0686748576498073,0.00908144330624617,0.00121075800072135,0,0,0.00372938152051358,0,0.0381259102422155,0.0120636317794836,0,0,0.485447554246975,0.878677226378343
GSM831279,0,0.0029479143769078,0,0.0131703248760541,0.465829782275004,0.290568811892315,0.0167219828974422,0.00665779103561162,0.0525058766129369,0,0.0254103061599466,0,0.0499429912742279,0,0,0.00165610763051365,0,0.00629794915640461,0,0.0610934137354116,0.00719674807722429,0,0,0.522058863373076,0.856765233683939
GSM831280,0,0.00179973569267917,0.002356560591813,0.00898088241824542,0.300774485699136,0.496042336405409,0.0373193676249593,0,0.0439059187325395,0,0.0380581823159559,0,0.017589999919063,0.0141117456167324,0,0.000169531885770612,0,0,0,0.0387412950689457,0.000149958028751905,0,0,0.479512099642575,0.888086115459116
GSM831281,0,0,0,0,0.150253277733904,0.496063094936689,0.0115352426520561,0.110772906172381,0.0817776909875358,0,0.0614076069618927,0,0.0321110307185842,0.00668749761005479,0,0.00131027206653511,0,0,0,0.0316827822356875,0.0163985979246801,0,0,0.419097600103798,0.924103106595225
GSM831282,0.000669919362281681,0,0.00309852025376347,0.00439342359109188,0.184255691022485,0.34911114792567,0.0386768069650445,0.0378796304342152,0.0925029245368886,0,0.0405190107252844,0,0.0962631799314484,0,0,0.00361712794580167,0,0.00195461099200159,0,0.117809683604252,0.0292483227097712,0,0,0.409554478472453,0.917308302675732
GSM831283,0,0.000322835735442755,0.00189315882126994,0.00288912016226226,0.372326124343259,0.279315457849714,0.0663561452142896,0.0118550772310553,0.123857937878537,0,0.0443472850187532,0,0.0310256841557352,0.00468980655139196,0,0,0,0,0,0.0611213670382894,0,0,0,0.47402378599526,0.887038483041811
GSM831284,0.0151950205836174,0,0,0.0244639457560025,0.280377519624721,0.349918312585393,0.0662821317108696,0.0203320424965054,0.0237734628167595,0,0.00873924826937951,0.0105485832143704,0.0950224364893908,0.0244124432083712,0.000324242829448979,0,0,0.00417486663467291,0,0.0608598461071046,0.0155758976733935,0,0,0.465028913546804,0.887741776899016
GSM831285,0.00272923792553775,0,0.00339971261426407,0.0135838630622669,0.085278390859902,0.61977025761648,0.0695028852138245,0.00436410476726955,0.020638317171704,0,0.061143005165925,0,0.0458249617353969,0.00963501768372984,0,0.00216032974394518,0,0.000279996180298838,0,0.0569239597615092,0.00476596049794575,0,0,0.479940361152996,0.881643376526255
GSM831286,0,0,0.00634950323916566,0,0.1512536919893,0.467745811615267,0.0560030133288537,0.0918950951371088,0.0449325664949165,0,0.0453581835403693,0.00784442521010797,0.0373039738910778,0.0302019302006993,0,0,0,0,0,0.0555121273775896,0.00469003943598634,0.000909638539557679,0,0.469137115765604,0.887284205702001
GSM831287,0.0125713083380517,0,0,0.00620846411355561,0.126881858144339,0.324955460241404,0.0647724006301169,0.0183171556101088,0.0609066182923665,0,0.0305101870191944,0.0306834268050595,0.088668208823063,0.0255066966726749,0,0,0,0.00562320250020587,0,0.189442372070601,0.0149526407392591,0,0,0.442349550727403,0.897902647180565
GSM831288,0,0.000312077698839313,0.00349883576581856,0.00545654903883767,0.12161561637811,0.477330367122095,0.174791580162112,0,0,0,0.0170600770215544,0.0707079466193165,0.0613688660617766,0.012527460079139,0,0,0,0,0,0.0396183374496041,0.0151237060220619,0.000588580580735017,0,0.509133282267565,0.861284226547746
GSM831289,0.0122908002509621,0,0.00105075870627314,0.035851162095854,0.00506929682479013,0.58254612195106,0.131850917614428,0.0143889068747358,0.0173224156469564,0,0.0554018801102258,0.0400547002967745,0.0704183271130918,0.0079539149266801,0,0,0.00271331331569099,0.00430893070965384,0,0.0084615669783,0.010316986584524,0,0,0.50282279712816,0.865658160569538
GSM831290,0,0,0.00038981248129307,0.00341283752092258,0.142437418984735,0.401406221034458,0.0268929526563867,0.0774968632731627,0.0613096728897956,0,0.0572570299407469,0,0.0899686380540156,0.0162165020532995,0,0,0,0,0,0.107377751653533,0.0111979160844381,0.00463638337321307,0,0.465519944448684,0.886258405995632
GSM831291,0.00850436804110011,0,0,0,0.237915598917399,0.428814265626262,0.0171037154294916,0.120507830712592,0.0215665878459764,0,0.0274346935521359,0.00622769273604592,0.0615689138581129,0.0206921403544006,0,0.00870508515870847,0,0.00429122293020568,0,0.0255676455847629,0.0111002392528061,0,0,0.48000112995529,0.882363250129122
GSM831292,0.015740071935395,0,0,0.00663440397226305,0.0992333169415176,0.420574350401665,0.0661594360272937,0.0215517136734925,0.0201726915450301,0,0.0688869559241651,0,0.104971065711179,0.0192490688472726,0,0,0,0.00611537981292896,0,0.136899440355529,0.0138121048522683,0,0,0.436344044917404,0.900992491380651
GSM831293,0,0,0.000888248909070458,0,0.166042546714845,0.464379878809262,0.0570386554650809,0.00482807673918367,0.0325970959342338,0,0.0996313138566996,0,0.0850620809545016,0.0273316938871722,0,0,0,0.00125783168825698,0,0.0566974509532286,0.00361601266567124,0.000629113422794777,0,0.420069732398074,0.914490314059409
GSM831294,0,0,0,0.0167047564877715,0.222820633151795,0.367797260327082,0.036012459489297,0.106192468195901,0.0237368458540312,0,0.0608264015270871,0,0.0565585945929703,0.00894281258826499,0,0,0,0,0,0.0917825329642071,0.00862523482159319,0,0,0.442772887235231,0.902819294575804
GSM831295,0.00147368197791177,0,0.000486872517601647,0.00132332384950021,0.321320944646794,0.290585171441583,0.0335254941697535,0.0801718239591972,0.0267206391933221,0,0.0943044662822926,0,0.0580008365256119,0.032940140838484,0,0.0018499307406166,0,0.000394332820483909,0,0.0486343140132957,0.00698140860130183,0.00128661842224996,0,0.425757338202449,0.913424546616129
